iter	Passed	Remaining
940	2526	158
941	2528	155
942	2530	152
943	2532	150
944	2535	147
945	2539	144
946	2542	142
947	2544	139
948	2547	136
949	2550	134
950	2553	131
951	2555	128
952	2559	126
953	2560	123
954	2563	120
955	2566	118
956	2569	115
957	2572	112
958	2574	110
959	2577	107
960	2580	104
961	2582	102
962	2584	99
963	2585	96
964	2588	93
965	2592	91
966	2595	88
967	2598	85
968	2601	83
969	2604	80
970	2606	77
971	2610	75
972	2613	72
973	2616	69
974	2619	67
975	2622	64
976	2625	61
977	2629	59
978	2633	56
979	2636	53
980	2639	51
981	2642	48
982	2646	45
983	2648	43
984	2650	40
985	2653	37
986	2656	34
987	2659	32
988	2663	29
989	2665	26
990	2668	24
991	2671	21
992	2678	18
993	2681	16
994	2684	13
995	2686	10
996	2689	8
997	2692	5
998	2694	2
999	2696	0
